Countries,Year 2006 ,Year 2008,Year 2010,Year 2012,Year 2014,Year 2016
Albania,6443.9307,7811.686,9544.7402,10402.636,10452.353,11217.45
Algeria,11446.06,12315.764,12590.226,13462.519,12953.315,12193.961
Angola,4645.3936,6080.5405,5988.5347,7773.1074,7182.186,5246.3335
Anguilla,27364.469,31871.705,21098.057,19621.252,18170.367,15396.068
Antigua and Barbuda,14435.568,18150.324,17162.16,18218.461,5062.2222,8340.2539
Argentina,13452.63,15489.022,15841.659,16968.105,16233.318,16085.712
Armenia,6247.4233,7895.9189,8222.9453,9443.4941,9688.627,9381.0264
Aruba,41337.129,43957.234,37059.344,34964.426,36878.191,29586.152
Australia,40892.359,42713.223,44854.902,46175.125,46920.895,46755.23
Austria,38846.805,41368.645,40489.809,43265.531,44065.441,44791.379
Azerbaijan,6974.9482,10686.558,12947.103,16710.912,16393.193,14293.731
Bahamas,30808.957,30500.602,29504.582,29712.188,27241.072,23078.143
Bahrain,35958.855,46171.492,37045.813,39806.566,41665.594,37689.027
Bangladesh,1618.4756,1986.0731,2411.1021,2702.4185,2950.6099,3218.9878
Barbados,15839.929,17096.406,13995.613,11253.069,10198.376,9424.458
Belarus,12065.13,15413.064,16457.029,17621.037,16684.32,16252.168
Belgium,33519.242,37041.637,38177.945,39135.852,38166.574,37170.441
Belize,7377.4209,7067.1445,7145.9521,7468.3403,7302.5859,6904.5332
Benin,1888.9696,1957.9071,1919.9968,1978.1582,2180.6028,2042.2521
Bermuda,41492.422,50077.742,51447.145,42369.254,39738.625,35908.875
Bhutan,5366.5479,5975.6479,7235.1895,7096.2998,7213.751,8239.8018
Bolivia,3692.7053,4289.9028,4806.6094,5611.9556,5836.4604,5653.1333
Bosnia and Herzegovina,7539.6655,8751.3291,9049.3643,9727.917,10198.682,11081.304
Botswana,12129.414,12277.092,12256.142,13343.103,14768.774,14951.116
Brazil,9457.0322,11473.532,13541.462,14998.416,15032.196,13787.687
British Virgin Islands,35527.762,26914.955,21183.281,19051.656,25030.389,20565.969
Brunei,81101.453,83941.43,67320.898,84735.195,71171.883,51455.105
Bulgaria,12361.933,14590.608,14906.785,15705.853,16085.071,17693.746
Burkina Faso,1335.8718,1298.9156,1327.2166,1456.0338,1487.028,1559.5422
Burundi,695.82208,716.68018,731.42328,789.88416,852.28558,803.34576
Cambodia,1938.2688,2380.1101,2330.1272,2663.8665,3008.6909,3046.0073
Cameroon,2593.5706,2716.2834,2684.9727,2878.4819,3015.6135,3108.1067
Canada,41216.043,42891.664,40269.031,42477.102,45044.281,42062.379
Cape Verde,4226.3296,5221.4521,5644.8213,6244.7134,6127.4517,6464.2524
Cayman Islands,55194.148,52149.664,36670.68,34905.082,36702.625,29509.805
Central African Republic,853.72321,864.44159,865.4422,954.38025,614.09656,719.82153
Chad,1482.6421,1641.5203,1880.3749,1951.8369,1613.4358,1476.6967
Chile,15198.137,15692.971,18092.941,21282.502,22589.863,22724.904
China,6585.7505,7463.8462,9337.29,10645.562,11808.159,12369.488
Colombia,8287.1094,9738.9277,10636.5,12203.271,12769.826,12593.01
